"RowId","YearStart","YearEnd","LocationAbbr","LocationDesc","Datasource","Class","Topic","Question","Data_Value_Unit","DataValueTypeID","Data_Value_Type","Data_Value","Data_Value_Alt","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","StratificationCategory1","Stratification1","StratificationCategory2","Stratification2","Geolocation","ClassID","TopicID","QuestionID","LocationID","StratificationCategoryID1","StratificationID1","StratificationCategoryID2","StratificationID2"
"BRFSS~2016~2016~13~Q35~TOC03~AGE~SEX","2016","2016","GA","Georgia","BRFSS","Overall Health","Recent activity limitations in past month","Mean number of days with activity limitations in the past month","Number","MEAN","Mean","6.4","6.4",,,"5.1","7.8","Age Group","50-64 years","Sex","Male","POINT (-83.62758034599966 32.83968109300048)","C01","TOC03","Q35","13","AGE","5064","SEX","MALE"
"BRFSS~2015~2015~13~Q32~TOC07~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Overall Health","Self-rated health (fair to poor health)","Percentage of older adults who self-reported that their health is ""fair"" or ""poor""","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","50-64 years","Race/Ethnicity","Hispanic","POINT (-83.62758034599966 32.83968109300048)","C01","TOC07","Q32","13","AGE","5064","RACE","HIS"
"BRFSS~2015~2015~13~Q22~TSC07~AGE~SEX","2015","2015","GA","Georgia","BRFSS","Screenings and Vaccines","High blood pressure ever","Percentage of older adults who have ever been told by a health professional that they have high blood pressure","%","PRCTG","Percentage","69.4","69.4",,,"65.9","72.7","Age Group","65 years or older","Sex","Female","POINT (-83.62758034599966 32.83968109300048)","C03","TSC07","Q22","13","AGE","65PLUS","SEX","FEMALE"
"BRFSS~2015~2015~13~Q21~TAC03~AGE~OVERALL","2015","2015","GA","Georgia","BRFSS","Smoking and Alcohol Use","Binge drinking within past 30 days","Percentage of older adults who reported binge drinking within the past 30 days","%","PRCTG","Percentage","10.5","10.5",,,"8.6","12.7","Age Group","50-64 years",,,"POINT (-83.62758034599966 32.83968109300048)","C04","TAC03","Q21","13","AGE","5064","OVERALL","OVERALL"
"BRFSS~2015~2015~13~Q45~TOC13~AGE~SEX","2015","2015","GA","Georgia","BRFSS","Overall Health","Fair or poor health among older adults with arthritis","Fair or poor health among older adults with doctor-diagnosed arthritis","%","PRCTG","Percentage","30.9","30.9",,,"24.3","38.5","Age Group","65 years or older","Sex","Male","POINT (-83.62758034599966 32.83968109300048)","C01","TOC13","Q45","13","AGE","65PLUS","SEX","MALE"
"BRFSS~2015~2015~13~Q43~TOC11~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","%","PRCTG","Percentage","37.4","37.4",,,"31.6","43.6","Age Group","50-64 years","Race/Ethnicity","Black, non-Hispanic","POINT (-83.62758034599966 32.83968109300048)","C01","TOC11","Q43","13","AGE","5064","RACE","BLK"
"BRFSS~2015~2015~13~Q44~TOC12~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Overall Health","Severe joint pain among older adults with arthritis","Severe joint pain due to arthritis among older adults with doctor-diagnosed arthritis","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","Overall","Race/Ethnicity","Asian/Pacific Islander","POINT (-83.62758034599966 32.83968109300048)","C01","TOC12","Q44","13","AGE","AGE_OVERALL","RACE","ASN"
"BRFSS~2015~2015~13~Q27~TMC03~AGE~OVERALL","2015","2015","GA","Georgia","BRFSS","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","%","PRCTG","Percentage","19.3","19.3",,,"17.6","21.1","Age Group","Overall",,,"POINT (-83.62758034599966 32.83968109300048)","C05","TMC03","Q27","13","AGE","AGE_OVERALL","OVERALL","OVERALL"
"BRFSS~2015~2015~13~Q01~TNC01~AGE~SEX","2015","2015","GA","Georgia","BRFSS","Nutrition/Physical Activity/Obesity","Eating 2 or more fruits daily","Percentage of older adults who are eating 2 or more fruits daily","%","PRCTG","Percentage","22.1","22.1",,,"19.0","25.5","Age Group","Overall","Sex","Male","POINT (-83.62758034599966 32.83968109300048)","C02","TNC01","Q01","13","AGE","AGE_OVERALL","SEX","MALE"
"BRFSS~2015~2015~13~Q31~TCC02~AGE~RACE","2015","2015","GA","Georgia","BRFSS","Cognitive Decline","Functional difficulties associated with subjective cognitive decline or memory loss among older adults","Percentage of older adults who reported subjective cognitive decline or memory loss that interferes with their ability to engage in social activities or household chores","%","PRCTG","Percentage",,,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",,,"Age Group","Overall","Race/Ethnicity","Native Am/Alaskan Native","POINT (-83.62758034599966 32.83968109300048)","C06","TCC02","Q31","13","AGE","AGE_OVERALL","RACE","NAA"
